Seconds,R_Time,SealID,Recording_ID,ID,Sleep_Code,Simple_Sleep_Code,Resp_Code,Water_Code,DN,pitch,roll,heading,x,y,z,geoX,geoY,Depth,speed,Lat,Long,Stroke_Rate,Heart_Rate,L_EEG_Delta,R_EEG_Delta,HR_VLF_Power
168636,2021-04-22 16:52:46,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7033,0.940957615,-0.563279654,1.366816177,43604.99251,-69104.5737,-11.35355368,45248.61339,-114609.4242,11.35355368,1.52313015,36.14149867,-121.9022515,51.78241,51.45104,3696226,1673586,3.568811
168637,2021-04-22 16:52:47,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7033,0.986468284,-0.543502927,1.293329456,43605.78676,-69104.47339,-10.17228756,45249.08005,-114609.2812,10.17228756,1.508225368,36.14149508,-121.9022464,57.984,50.63793,6805849,5098078,3.568811
168638,2021-04-22 16:52:48,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7033,1.029409919,-0.422150374,1.400907504,43606.54616,-69104.42253,-8.939660336,45249.51184,-114609.1876,8.939660336,1.491992965,36.14149116,-121.9022417,61.68994,52.06751,207534.9,7767823,3.568811
168639,2021-04-22 16:52:49,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7033,1.023880235,-0.37181795,1.595499099,43607.30962,-69104.38993,-7.751405663,45249.94772,-114609.1123,7.751405663,1.47383304,36.14148734,-121.9022376,52.07411,53.46393,259697.2,5566145,3.568811
168640,2021-04-22 16:52:50,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7034,1.00941237,-0.418879943,1.647619985,43608.07956,-69104.4029,-6.589154633,45250.39005,-114609.0825,6.589154633,1.453686606,36.14148343,-121.9022341,36.73458,55.15868,76920.33,262085.7,3.568811
168641,2021-04-22 16:52:51,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7034,0.971983028,-0.460129834,1.639499818,43608.87109,-69104.45493,-5.536790112,45250.85399,-114609.0918,5.536790112,1.432075885,36.14147948,-121.902231,7.357465,52.89603,10186.07,115747.1,4.570925
168642,2021-04-22 16:52:52,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7034,0.961890393,-0.45658307,1.672862679,43609.67468,-69104.53557,-4.572225566,45251.32999,-114609.1298,4.572225566,1.409490066,36.14147555,-121.9022279,7.357465,49.55595,3852.129,13800.95,4.570925
168643,2021-04-22 16:52:53,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7034,0.927091178,-0.456269448,1.668944051,43610.48829,-69104.61461,-3.717233611,45251.816,-114609.1661,3.717233611,1.385458253,36.14147169,-121.9022247,7.357465,50.75418,7482.703,16082.6,4.570925
168644,2021-04-22 16:52:54,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7034,0.833125479,-0.41079615,1.658552832,43611.35102,-69104.68509,-2.950379384,45252.35113,-114609.1938,2.950379384,1.36011001,36.1414679,-121.9022206,7.357465,50.27504,5254.913,5904.862,4.570925
168645,2021-04-22 16:52:55,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Apnea,OPEN OCEAN,738268.7034,0.663960354,-0.327657531,1.738721579,43612.33088,-69104.82111,-2.28314261,45253.0034,-114609.2871,2.28314261,1.334158845,36.14146367,-121.9022152,7.357465,47.31865,27012.58,1244107,4.570925
168646,2021-04-22 16:52:56,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7034,0.596996528,-0.291559892,1.697362634,43613.38171,-69104.99579,-1.717221638,45253.72663,-114609.4191,1.717221638,1.307958964,36.14145919,-121.9022089,7.357465,52.56822,229900.3,3593043,4.570925
168647,2021-04-22 16:52:57,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7034,0.596409433,-0.2306371,1.607220234,43614.44553,-69105.08603,-1.298325486,45254.46285,-114609.4666,1.298325486,1.281823149,36.14145524,-121.9022015,7.357465,50.6686,116575.8,3611302,4.570925
