Seconds,ECG,pitch,roll,heading,GyrZ,Glide_Controller,Depth,Heart_Rate,Stroke_Rate,Heart_Detected,Stroke_Detected
60763,-30.6961,59.54699,-9.405934,84.82941,-0.06434868,1.47E-08,14.77243,51.26729,52.6885,0,0
60763.1,16.77798,59.54699,-9.405934,84.82941,-0.06434868,1.47E-08,14.77243,51.55755,52.6885,1,0
60763.2,-6.95026,57.95597,-14.71177,81.79165,-0.08457224,1.47E-08,14.52851,52.13804,52.6885,0,0
60763.3,-14.00611,57.95597,-14.71177,81.79165,-0.08457224,1.47E-08,14.52851,52.13804,52.6885,0,0
60763.4,-18.88692,56.4582,-27.77313,68.70674,-0.01352094,1.47E-08,14.28459,52.13804,52.6885,0,0
60763.5,-4.206924,56.4582,-27.77313,68.70674,-0.01352094,1.47E-08,14.28459,52.13804,52.6885,0,0
60763.6,-6.333891,54.54897,-31.69483,68.63533,0.05998836,1.47E-08,14.01357,52.13804,52.6885,0,0
60763.7,-7.203226,54.54897,-31.69483,68.63533,0.05998836,1.47E-08,14.01357,52.13804,52.6885,0,1
60763.8,-13.01216,55.86019,-26.96023,74.44169,0.08339414,1.47E-08,13.82385,52.13804,52.60475,0,0
60763.9,-25.38082,55.86019,-26.96023,74.44169,0.08339414,1.47E-08,13.82385,52.13804,52.43728,0,0
60764,-34.79305,59.35497,-18.56756,78.39682,0.01987043,1.47E-08,13.60703,52.13804,52.43728,0,0
60764.1,-52.9534,59.35497,-18.56756,78.39682,0.01987043,1.47E-08,13.60703,52.13804,52.43728,0,0
60764.2,-13.88052,59.25622,-13.6517,85.47212,-0.07431233,1.47E-08,13.33601,51.0527,52.43728,1,0
60764.3,8.798613,59.25622,-13.6517,85.47212,-0.07431233,1.47E-08,13.33601,48.88202,52.43728,0,0
60764.4,23.64626,57.70634,-20.78107,79.11644,-0.07677032,1.47E-08,13.09209,48.88202,52.43728,0,0
60764.5,22.28309,57.70634,-20.78107,79.11644,-0.07677032,1.47E-08,13.09209,48.88202,52.43728,0,0
60764.6,46.43204,55.46793,-32.76039,67.59711,0.01046642,1.47E-08,12.88882,48.88202,52.43728,0,0
60764.7,46.11094,55.46793,-32.76039,67.59711,0.01046642,1.47E-08,12.88882,48.88202,52.43728,0,0
60764.8,42.73158,53.53949,-33.24374,72.61793,0.09664974,1.47E-08,12.63135,48.88202,52.24582,0,1
60764.9,34.46276,53.53949,-33.24374,72.61793,0.09664974,1.47E-08,12.63135,48.88202,51.8629,0,0
60765,20.45767,57.23726,-25.36188,78.69346,0.08947328,1.47E-08,12.38743,48.88202,51.8629,0,0
60765.1,2.818893,57.23726,-25.36188,78.69346,0.08947328,1.47E-08,12.38743,48.88202,51.8629,0,0
60765.2,-14.69656,59.98315,-14.62389,88.58679,-0.01936964,1.47E-08,12.21126,48.88202,51.8629,0,0
60765.3,-20.62792,59.98315,-14.62389,88.58679,-0.01936964,1.47E-08,12.21126,48.88202,51.8629,0,0
60765.4,-6.48388,58.52929,-12.5422,92.20134,-0.1036436,1.47E-08,11.96734,50.07106,51.8629,1,0
60765.5,27.07028,58.52929,-12.5422,92.20134,-0.1036436,1.47E-08,11.96734,52.44916,51.8629,0,0
60765.6,-9.038082,57.50609,-24.69179,78.06722,-0.06460107,1.47E-08,11.73697,52.44916,51.8629,0,0
60765.7,-23.41909,57.50609,-24.69179,78.06722,-0.06460107,1.47E-08,11.73697,52.44916,51.8629,0,0
60765.8,-10.87303,53.75071,-35.97905,70.12399,0.0381298,1.47E-08,11.54726,52.44916,51.8629,0,0
60765.9,3.028591,53.75071,-35.97905,70.12399,0.0381298,1.47E-08,11.54726,52.44916,51.8629,0,0
60766,4.48409,53.91256,-32.26606,78.30893,0.1001282,1.47E-08,11.24913,52.44916,51.96751,0,1
60766.1,1.502342,53.91256,-32.26606,78.30893,0.1001282,1.47E-08,11.24913,52.44916,52.17674,0,0
60766.2,-12.22159,58.78165,-22.86276,83.03312,0.06279749,1.47E-08,10.99166,52.44916,52.17674,0,0
60766.3,-31.76016,58.78165,-22.86276,83.03312,0.06279749,1.47E-08,10.99166,52.44916,52.17674,0,0
60766.4,-36.81112,60.29038,-14.56896,89.8832,-0.0384081,1.47E-08,10.80194,52.44916,52.17674,0,0
